word,pos,definition
animo'y,,prep. like; seems like
aninag,,adj. 1. transparent; 2. visible through a transparent medium
aninagin,,"(inaaninag, inaninag, aaninagin) v., inf. peer at; look closely; squint at"
aninaw,,adj. 1. visible through a haze; 2. discernible
aninaw,,n. discernment
aninawin,,"(inaaninaw, inaninaw, aaninawin) v., inf. 1. see with difficulty (because of darkness, etc.); 2. discern (through haze, etc.)"
anino,,n. 1. shadow; 2. image or reflection
aninuhan,,"(inaaninuhan, inaninuhan, aaninuhan) v., inf. shade a drawing or painting"
anis,,"n., bot. tiny aromatic seeds used as flavouring (US: flavoring)"
anit,,anit adj. shaved close to the scalp
anit,,n. scalp
anitan,,"(inaanitan, inanitan, aanitan) v., inf. shave the head"
anitin,,"(inaanit, inanit, aanitin) v., inf. shave the hair close to the scalp"
anito,,n. 1. idolatry; 2. idol; 3. superstitious custom
aniya,,aniya expr. he said; she said
anlalawa,,"anlalawa n., zoo. house spider"
anlaw,,anlaw n. last rinsing of clothes
anlawan,,"anlawan (inaanlawan, inanlawan, aanlawan) v., inf. give clothes a final rinsing"
anluagi,,n. carpenter
anluwagi,,n. carpenter
ano,,"ano interrog. 1. what; 2. used to show surprise, dislike and other feelings"
ano man,,ano man comp. 1. whatever; no matter what; 2. aught; 3. any
ano naman,,ano naman interrog. whatever
anod,,n. 1. flotsam; 2. overflow of water over something
anomalia,,n. anomaly
anomalo,,anomalo adj. anomalous
anomalya,,anomalya n. anomaly
anoman,,anoman pron. 1. whatever; no matter what; 2. aught; 3. any
anomometro,,n. anemometer
anonima,,anonima adj. anonymous
anonimo,,anonimo adj. anonymous
anos,,anos adj. burnt; overcooked (food)
anot,,"anot adj. close-clipped; close-cut (hair, grass)"
ansikot,,ansikot n. loitering
ansikutero,,n. laggard; loiterer
anta,,anta n. rancidity
antabay,,antabay n. slowing down to wait for someone to catch up
antabayanan,,"(inaantabayanan, inantabayanan, aantabayanan) v., inf. slow down, waiting for someone to come abreast"
antak,,antak n. stinging pain
antala,,n. delay; procrastination; hindrance
antalahin,,"(inaantala, inantala, aantalahin) v., inf. delay; hinder; wait; put off"
antanda,,antanda n. sign of the cross
antangan,,n. design
Antartiko,,Antartiko n. Antarctica (south polar region)
antas,,antas n. 1. circumference; 2. degree of progress; 3. academic degree; 4. degree in a scale; 5. grade in rank
antas-antas,,antas-antas adv. 1. little by little; 2. bit by bit; 3. gradually
Antay,,Antay! intrj. Wait!
antayin,,"antayin (inaantay, inantay, aantayin) v., inf. wait for"
ante-sala,,n. anteroom; waiting room
antem,,n. anthem
antemano,,adv. beforehand
antena,,n. 1. antenna; 2. feelers (zoo.); 3. pentode
antenang likaw,,"comp., n. antenna"
Anti-cristo,,n. Antichrist
antibady,,n. antibody
antibayotik,,"n., adj., med. antibiotic"
Anticristo,,n. Antichrist
antidot,,"antidot n., med. antidote"
antidoto,,"antidoto n., med. antidote"
antig,,antig n. friendly reminder
antigin,,"antigin (inaantig, inantig, aantigin) v., inf. 1. give a friendly reminder; 2. affect; move the heart"
antigo,,adj. antique; ancient
antiklina,,n. anticline (geology)
antimano,,adv. beforehand
Antimony,,n. Antomony (Sb)
anting-anting,,anting-anting n. 1. amulet; fetish; 2. talisman
antipatia,,antipatia n. antipathy; dislike
antipatika,,antipatika adj. displeasing; disagreeable; unfriendly
antipatiko,,antipatiko adj. displeasing; disagreeable; unfriendly
antipatiya,,antipatiya n. antipathy; dislike
antipatya,,antipatya n. antipathy; dislike
antipolo,,"n., bot. species of tree with timber of group 3"
antiseptik,,"n., adj. antiseptic"
antiseptiko,,"antiseptiko n., adj. antiseptic"
antisipo,,n. advance payment
antitoksin,,"n., med. antitoxin"
antitoksina,,"n., med. antitoxin"
antok,,antok n. drowsiness; sleepiness
antolohia,,antolohia n. anthology; collection of poems or prose
antolohiya,,antolohiya n. anthology; collection of poems or prose
antot,,antot n. repulsive odour (US: odor) of stagnant water
antraks,,"n., med. anthrax"
antrasita,,n. antracite (geology)
antropologo,,antropologo n. anthropologist
antropolohia,,antropolohia n. anthropology
antropolohiya,,antropolohiya n. anthropology
antukin,,"antukin (inaantok, inantok, aantukin) v., inf. be overcome by drowsiness or spleepiness"
antukin,,antukin adj. always drowsy or sleepy
anu-ano,,anu-ano pron. what (followed by a plural)
Anuba,,Anuba! intrj. what now?; hello!; what's the matter now? [diff. meanings]
anuhin,,"anuhin (inaano, inano, aanuhin) v., inf. do something with [idiomatic]"
anuman,,"anuman expr. aught; anything [abbr. of ""ano man""]"
anuman ang mangyari,,anuman comp. anyway; no matter what happens
anunas,,"n., bot. sugar apple (tropical fruit)"
Anunsiyasyon,,Anunsiyasyon n. festival held on March 25
anunsiyo,,anunsiyo n. 1. advertisement; 2. announcement; public notice
anurin,,"(inaanod, inanod, aanurin) v., inf. be carried away by a current of water"
anutin,,"anutin (inaanot, inanot, aanutin) v., inf. cut close (hair or grass)"
anwal,,adj. annual; yearly
anwang,,"anwang n., zoo. carabao"
anyaya,,n. invitation
anyayahan,,"(inaanyayahan, inanyayahan, aanyayahan) v., inf. invite; ask someone to a party, etc."
anyeho,,1. adj.; 2. n. 1. old; stale; 2. old wine
anyo,,anyo n. 1. form [mat.]; 2. presence; 3. phase (e.g. moon); 4. figure; 5. gesture or position of body
anyo,,n. year
anyuin,,"anyuin (inaanyuin, inanyuin, aanyuin) v., inf. take the form of something"
apa,,apa adj. 1. groping; 2. pilfered; stolen [fig.]
apa,,n. thin wafer made of rice starch; ice cream wafer
apad,,n. 1. flank of the body of an animal; 2. ribs of animals with the meat used for food
apad,,n. pain in the side
apahap,,"n., zoo. species of sea bass"
apain,,"apain (inaapa, inapa, aapain) v., inf. 1. grope for some specific thing; 2. steal some small thing [fig.]"
apak,,apak adj. 1. barefooted; 2. trodden on
apak,,n. tread; step
apakan,,"apakan (inaapakan, inapakan, aapakan) v., inf. tramp or tread on"
apalit,,"n., bot. sandalwood tree"
apalya,,"n., bot. balsam apple; bitter gourd (Echinocystis lobata)"
apanas,,"n., zoo. very tiny red ant"
aparador,,aparador n. closet; dresser; wardrobe
aparador ng mga libro,,"aparador ng mga libro comp., n. bookcase"
aparatista,,n. operator (one who runs in motion a machine)
aparato,,n. apparatus; tackle; equipment
aparin,,"(inaapad, inapad, aaparin) v., inf. suffer pain in the side"
aparisyon,,aparisyon n. apparition; appearance of a supernatural being
apartment,,n. apartment
apasyonado,,adj. passionate; impassioned
apat,,"n., adj. four (4)"
apat-apat,,"adj., adv. four by four"
apatan,,"apatan adj., adv. four by four"
apatan,,apatan n. 1. quadruplet; 2. group of four
apatang gilid,,apatang gilid comp. quadrilateral; with four sides
apatang taludtod,,apatang taludtod comp. quatrain; stanza with four lines
apatia,,apatia n. apathy
apatin,,"(inaapat, inapat, aapatin) v., inf. make four, or divide into four equal parts"
apatita,,n. apatite (geology)
apatiya,,apatiya n. apathy
apatnapu,,"apatnapu n., adj. forty (40)"
apatya,,apatya n. apathy
apaw,,adj. overflowing; inundated
apaw,,apaw adj. dumb
apaw,,n. 1. overflow; 2. inundation; flood
apawan,,"(inaapawan, inapawan, aapawan) v., inf. be flooded; be covered by an overflow"
apdo,,apdo n. gall (liquid secreted in the liver)
apelahan,,"apelahan (inaapelahan, inapelahan, aapelahan) v., inf. appeal; appeal to a higher court"
apelasyon,,apelasyon n. appeal to a higher court
apelyido,,n. surname; family name
apendiks,,"n., med. appendix"
apendise,,"apendise n. appendix (addition at the end of document, etc.)"
apendisitis,,"n., med. appendicitis"
aperkat,,aperkat n. uppercut (pugilistic term)
api,,api adj. oppressed; downtrodden; maltreated
api-apihan,,api-apihan adj. oppressed; downtrodden
apid,,n. adultery
apidabit,,n. affidavit; written statement sworn to be true
apido,,apido n. zoo. aphid; plant louse
apihin,,"apihin (inaapi, inapi, aapihin) v., inf. 1. offend or aggrieve; injure unjustly; 2. bully; browbeat; persecute"
apinado,,adj. tuned; attuned
apinador,,apinador n. tuner
apinahin,,"apinahin (inaapina, inapina, aapinahin) v., inf. tune a musical instrument"
apinasyon,,apinasyon n. state of being tuned or in tune
apinidad,,apinidad n. affinity
apirmatiba,,adj. affirmative
apirmatibo,,adj. affirmative
apisyon,,apisyon n. inclination; talent
apisyunada,,"1., 2. n.; 3. adj. 1. amateur; 2. person interested in sports, movies, etc. (fan); 3. talented"
apisyunado,,"1., 2. n.; 3. adj. 1. amateur; 2. person interested in sports, movies, etc. (fan); 3. talented"
apitong,,"n., bot. species of tree producing timber"
aplaya,,n. beach; sandy beach; seashore
aplayan,,"aplayan (inaaplayan, inaplayan, aaplayan) v., inf. appply for"
aplikante,,n. applicant
aplikasyon,,aplikasyon n. application
aploramiyento,,n. outcrop (petro)
apo,,apo n. grandchild
apo,,apo n. term used out of respect for old people
apo sa pamangkin,,"apo sa pamangkin comp., n. grandnephew; grandniece"
apo sa sakong,,"apo sa sakong comp., n. great-great-grandchild"
apo sa talampakan,,"apo sa talampakan comp., n. great-great-great-grandchild"
apo sa tuhod,,"apo sa tuhod comp., n. great-grandchild"
apog,,n. lime
apog na galing sa bulaklak ng bato,,"comp., n. coral limestone"
apokalipsis,,n. apocalypse; revelation
apolohiya,,n. apology
apong babae,,"apong babae comp., n. granddaughter"
apong lalaki,,"apong lalaki comp., n. grandson"
apopleksi,,"n., med. apoplexy"
aporo,,"n. lining of a dress, coat, etc."
aporohan,,"(inaaporohan, inaporohan, aaporohan) v., inf. line; provide with lining"
aportunado,,adj. fortunate; lucky
apostol,,apostol n. apostle
apostolado,,n. apostolate
apostolika,,apostolika adj. apostolic
apostoliko,,apostoliko adj. apostolic
apostrope,,apostrope n. apostrophe
apoy,,apoy n. fire
aprendis,,"aprendis n. apprentice; person who is learning a trade, etc."
aprentis,,"n. apprentice; person who is learning a trade, etc."
Aprika,,Aprika n. Africa
Aprikano-o,,"n., adj. African"
aprobado,,adj. approved
aprobahan,,"aprobahan (inaaprobahan, inaprobahan, aaprobahan) v., inf. approve; grant; allow"
aprobasyon,,aprobasyon n. approval
aprobetsahan,,"aprobetsahan (inaaprobetsahan, inaprobetsahan, aaprobetsahan) v., inf. avail oneself; seize an opportunity"
aprobetsahin,,"aprobetsahin (inaaprobetsa, inaprobetsa, aaprobetsahin) v., inf. avail oneself; seize an opportunity"
aproksimahin,,"aproksimahin (inaaproksima, inaproksima, aaproksimahin) v., inf. approximate; calculate approximately"
aproksimasyon,,aproksimasyon n. approximation
apropyasyon,,apropyasyon n. appropriation; taking possession
apugan,,"apugan (inaapugan, inapugan, aapugan) v., inf. lime; put lime on"
apugan,,apugan n. lime factory
apugin,,"(inaapog, inapog, aapugin) v., inf. make into lime"
apuhapin,,"(inaapuhap, inapuhap, aapuhapin) v., inf. fumble; grope blindly"
apuin,,"apuin (inaapo, inapo, aapuin) v., inf. regard with reverence or respect"
apula,,apula n. act of checking or stopping something before it worsens
apulain,,"(inaapula, inapula, aapulain) v., inf. check or stop something before it worsens"
apurado,,adj. hurrying; in a hurry
apurahan,,"apurahan adj., adv. rush; urgent"
apurahin,,"apurahin (inaapura, inapura, aapurahin) v., inf. hurry up a particular task"
apuyan,,"apuyan (inaapuyan, inapuyan, aapuyan) v., inf. set something on fire; light"
apuyin,,"apuyin (inaapoy, inapoy, aapuyin) v., inf. burst into flames; burn; burn with ardour (US: ardor), etc. [fig.]"
apyak,,apyak n. yolk of egg
apyan,,n. opium
apyo,,"n., bot. celery"
Arab,,"n., adj. Arab; Arabian"
arabal,,arabal n. suburb
Arabe,,"Arabe n., adj. Arab; Arabian"
Arabia,,Arabia n. Arabia
Arabika-ko,,"Arabika-ko adj. Arabian, Arabic"
Arabya,,Arabya n. Arabia
arag-arag,,n. handbarrow
arahan,,"n., zoo. type of sea catfish"
aral,,n. 1. lesson; 2. admonition; 3. study; 4. instruction
aralan,,"aralan (inaaralan, inaralan, aaralan) v., inf. 1. teach; 2. give advice or correction to"
aralan,,aralan n. apprentice; beginner
aralan,,aralan n. place for studying
aralin,,"aralin (inaaral, inaral, aaralin) v., inf. study"
araling-pambahay,,araling-pambahay n. homework; lesson to be studied at home
aransel,,aransel n. tariff; customs duty
aranya,,aranya n. hanging chandelier
araro,,n. plough (US: plow)
araruhan,,n. ground already plowed or to be plowed
araruhin,,"(inaararo, inararo, aararuhin) v., inf. plow (plough); till; cultivate"
aras,,n. coins give by the bridegroom to the bride during a wedding ceremony
arastre,,"(inaarastre, inarastre, aarastre) v., inf. creep; crawl; drag along the ground"
arastre,,n. haulage
araw,,n. sun; day; daytime; day of the week
araw na darating,,darating comp. future
araw na kasunod,,"araw na kasunod comp., n. the next day; the following day or time"
araw na pangilin,,"comp., n. 1. day of the week used for rest; 2. official holiday"
araw ng paghuhukom,,"araw ng paghuhukom comp., n. doomsday"
Araw ng Pagpapasalamat,,"comp., n. Thanksgiving Day"
araw ng pahinga,,"araw ng pahinga comp., n. holiday from work, etc."
Araw ng Pasasalamat,,"comp., n. Thanksgiving Day"
araw-araw,,"adj., adv. daily; every day; day by day"
araw-gabi,,araw-gabi n. day and night
arawan,,arawan adj. daily
arawang tala,,"arawang tala comp., n. journal; daily record"
aray,,Aray! intrj. Ouch!
arbitrahan,,"arbitrahan (inaarbitrahan, inarbitrahan, aarbitrahan) v., inf. arbitrate"
arbitrasyon,,arbitrasyon n. arbitration
arbitro,,"arbitro n. arbiter; referee (sport); mediator; judge (contest, etc.)"
arborial,,adj. arboreal
arbularyo,,n. quack doctor; charlatan
area,,area n. area
areglado,,adj. 1. arranged; settled; 2. orderly; 3. methodical
areglahin,,"areglahin (inaaregla, inaregla, aareglahin) v., inf. arrange; settle"
areglo,,n. 1. agreement; 2. arrangement
aregluhin,,"aregluhin (inaareglo, inareglo, aaregluhin) v., inf. arrange; settle"
arena,,n. field of battle or conflikt; arena
arestado,,adj. arrested
arestahin,,"arestahin (inaaresta, inaresta, aarestahin) v., inf. arrest"
aresto,,n. prosecution
arestuhin,,"arestuhin (inaaresto, inaresto, aarestuhin) v., inf. arrest; seize by authority of law"
aretes,,n. earring
argolya,,n. 1. hoop; 2. iron ring for pull up exercises
argolyahan,,"argolyahan n. posts, crossbar and suspended rings for ""pull up"" exercises"
Argon,,n. Argon (chemistry) (A)
argumento,,n. argument; debate
Arhentum,,n. Silver (Ag)
ari,,ari n. property
ari,,ari pron. this one
ari-arian,,n. possessions; effects; estate; goods; holdings
Ariba!,,intrj. Long live!
aribaybaho,,n. vomiting and loose bowel movements
ariin,,"(inaari, inari, aariin) v., inf. claim as one's own"
arilyos,,n. earring
arimay,,n. ramie; China grass (used for making fabrics)
arimuhunan,,arimuhunan adj. worth keeping although not strictly needed
arimuhunanin,,"arimuhunanin (inaarimuhunan, inarimuhunan, aarimuhunanin) v., inf. take a small quantity of something even if not needed, but just to increase what one already has"
arina,,n. 1. flour; 2. starch
arindahin,,"arindahin (inaarinda, inarinda, aarindahin) v., inf. rent or lease"
aringkin,,aringkin n. 1. falling down; tumble; 2. somersault
arinola,,n. urinal; chamber pot
arirain,,"(inaarira, inarira, aarirain) v., inf. entice and allure in order to get information"
arisgado,,adj. risky
aristokrasiya,,aristokrasiya n. aristocracy; nobility
aristokrasya,,n. aristocracy; nobility
aristokrata,,aristokrata n. aristocrat
aristokratika,,aristokratika adj. aristocratic
aristokratiko,,aristokratiko adj. aristocratic
aristokrato,,aristokrato n. aristocrat (belonging to the upper class)
arithmetika,,n. arithmetic
aritmetika,,aritmetika n. arithmetic
aritmetiko,,aritmetiko n. mathematician
arka,,n. ark (e.g. Noah' ark)
arkanghel,,arkanghel n. archangel
arkeolohiya,,n. archeology
arkila,,arkila n. rent; rental
arkilahin,,"arkilahin (inaarkila, inarkila, aarkilahin) v., inf. rent; pay for the use of property"
arkipelago,,arkipelago n. archipelago
arkitekto,,n. architect
arkitektura,,n. architecture
arko,,n. 1. arc; 2. arch; 3. bow for arrows; 4. violin bow
arkos,,n. arkose (geology)
arktiko,,arktiko adj. pertaining to the Arctic Circle or North Pole
Arktiko,,Arktiko n. Arctic; Arctic Circle
arkuhan,,"arkuhan (inaarkuhan, inarkuhan, aarkuhan) v., inf. furnish with an arch"
armada,,n. armada; fleet
armado,,adj. armed
armas,,armas n. 1. arms; weapons; 2. munitions
armasan,,"armasan (inaarmasan, inarmasan, aarmasan) v., inf. arm with weapons"
armi,,n. army
armistisyo,,n. armistice; stop in fighting
armonia,,armonia n. study of chords [music]
armonya,,armonya n. study of chords [music]
armonyo,,n. harmonium; organ [music]
army,,n. army
arnes,,arnes n. 1. art of fencing; 2. Philippine Karate
arnibal,,"n. thick, sweet syrup"
arnibalan,,"(inaarnibalan, inarnibalan, aarnibalan) v., inf. place syrup on something"
arnis,,arnis n. 1. art of fencing; 2. Philippine Karate
Aro,,Aro! intrj. Is that so!
arok,,arok n. gauge of the depth of water
arosbalensiyana,,n. rice dish with condiments and clams
aroskaldo,,n. rice porridge with chicken broth and ginger
Aroy,,"Aroy! intrj. excl. of pleasure, or pain, etc. (Wow!, Ouch!)"
arpa,,arpa n. harp (musical instr.)
Arsenic,,n. Arsenic (As)
arsobispado,,n. archbishopric
arsobispo,,n. archbishop
arte,,"n. 1. art; (arte ng pintura, art of painting); 2. ceremony; mannerism"
arteris,,"n., med. artery"
arteriya,,arteriya n. artery [anatomy]
arterya,,"n., med. artery"
artesyano,,"adj. artesian (poso artesyano, artesian well)"
artihan,,"artihan (inaartihan, inartihan, aartihan) v., inf. decorate; make artistic"
artiko,,artiko adj. pertaining to the Arctic Circle or North Pole
Artiko,,Artiko n. Arctic; Arctic Circle
artikulante,,adj. talkative; loquacious
artikulasyon,,artikulasyon n. articulation
artikulo,,artikulo n. 1. magazine article; 2. article (gram. term.)
artilyeria,,artilyeria n. artillery
artipisyal,,artipisyal adj. 1. artificial; superficial; 2. unnatural
artipisyo,,n. artifice
artist,,n. 1. actor; actress; 2. artist
artista,,n. 1. actor; actress; 2. artist
artistik,,adj. artistic
artistiko,,artistiko adj. artistic
artisyano,,"adj. artesian (poso artesyano, artesian well)"
artritis,,"n., med. arthritis"
artsipelago,,artsipelago n. archipelago
aruga,,aruga n. tender care; nurture
arugain,,"arugain (inaaruga, inaruga, aarugain) v., inf. take care of; provide for"
arupel,,arupel n. tinsel; tin foil
aruro,,"aruro n., bot. arrowroot (herbaceous plant)"
arusbalensiyana,,n. rice dish with condiments and clams
aruskaldo,,n. rice porridge with chicken broth and ginger
Aruy,,Aruy intrj. Ouch! Wow! (more intense than Aray!)
arya,,arya n. aria
Arya,,Arya! intrj. urge on horses or cattle; Giddap!
aryahan,,"aryahan (inaaryahan, inaryahan, aaryahan) v., inf. 1. let something hang down (rope, etc.); 2. hit with some force; 3. continue to go ahead"
asa,,n. 1. hope; 2. trust; 3. dependence; 4. chance; 5. anticipation
asad,,n. small woven bamboo strips inside a cooking vessel to prevent from sticking to the bottom
asada,,adj. roasted in an oven
asada,,n. hoe
asadahin,,"(inaasada, inasada, aasadahin) v., inf. hoe soil; dig up soil with a hoe"
asado,,adj. roasted in an oven
asaduhin,,"(inaasado, inasado, aasaduhin) v., inf. roast in an oven"
asahan,,"(inaasahan, inasahan, aasahan) v., inf. 1. hope for; 2. rely on; 3. anticipate; 4. bargain for"
asahar,,asahar n. orange blossoms worn on the head by a bride
asaharan,,"asaharan (inaasaharan, inasaharan, aasaharan) v., inf. place orange blossoms on the head"
asak,,asak adj. much in vogue
asal,,n. conduct; behaviour (US: behavior)
asal-demonyo,,n. devilish conduct
asalin,,"(inaasal, inasal, aasalin) v., inf. act; behave (oneself)"
asalto,,"n. 1. assault, attack; 2. surprise party"
asam-asamin,,"asam-asamin (inaasam-asam, inasam-asam, aasam-asamin) v., inf. long for; anxiously await or desire"
asamblea,,n. law-making group; assembly
asambleista,,n. assemblyman (member of legislative assembly)
asamin,,"(inaasam, inasam, aasamin) v., inf. long for; anxiously await or desire; crave"
asana,,"asana n., bot. species of tree producing timber (narra)"
asanorya,,"n., bot. carrot"
asap,,"asap n. irritation of the eyes caused by smoke, etc."
asarol,,asarol n. large hoe
asarulin,,"asarulin (inaasarul, inasarul, aasarulin) v., inf. hoe; use a hoe"
asasin,,n. assassin
asasinesyon,,asasinesyon n. assassination; murder
asasineysyon,,asasineysyon n. assassination; murder
asawa,,n. spouse; partner in life
asbesto,,n. asbestos
asbok,,"asbok n. sudden gust of smoek, dust or thick vapour (US: vapor)"
asegurahin,,"asegurahin (inaasegura, inasegura, aasegurahin) v., inf. insure"
aselerador,,aselerador n. accelerator
asendero,,"n. person who owns and runs a hacienda , etc."
Asensiyon,,Asensiyon n. Ascension
asenso,,n. promotion
asensor,,asensor n. elevator
asento,,n. accent
asero,,n. 1. steel; 2. nib; pen point
asesino,,n. assassin
asesment,,n. assessment (e.g. of taxes)
asesor,,asesor n. tax assessor
asetik,,"n., adj. ascetic [n]; ascetic; self-denying [adj.]"
asetiko,,"asetiko n., adj. ascetic [n]; ascetic; self-denying [adj.]"
asetilen,,asetilen n. acetylene
asetileno,,n. acetylene
asetisismo,,n. asceticism
aseyte,,n. oil
aseyte-de-kastor,,aseyte-de-kastor n. castor oil
Asia,,n. Asia
Asian,,n. Asian
Asiano,,adj. Asiatic
asid,,n. acid
asido,,asido n. acid
asignasyon,,asignasyon n. assignment
asignatura,,n. subject being studied in school
asikaso,,n. attention
asikasuhin,,"(inaasikaso, inasikaso, aasikasuhin) v., inf. 1. attend to; 2. mind; look after"
asikasuhin,,asikasuhin n. things to be attended to
asikot,,asikot n. loitering
asikutero,,n. laggard; loiterer
asilo,,n. asylum
asim,,n. sourness; acidity
asiman,,"(inaasiman, inasiman, aasiman) v., inf. make sour"
asin,,asin n. salt
asinan,,"asinan (inaasinan, inasinan, aasinan) v., inf. put salt (on)"
asinan,,asinan n. 1. salt bed; 2. saltcellar
asinbato,,n. rock salt
asing-bato,,n. rock salt
asinorya,,"n., bot. carrot"
asintado,,adj. adjusted; fixed; fitted
asintahin,,"asintahin (inaasinta, inasinta, aasintahin) v., inf. adjust or fit mechanical parts"
asistensiya,,asistensiya n. 1. assistance; aid; 2. attendance; presence
asistensya,,asistensya n. 1. assistance; aid; 2. attendance; presence
asistente,,n. assistant
asistihan,,"asistihan (inaasistihan, inasistihan, aasistihan) v., inf. 1. attend; 2. assist; help"
asiwa,,"asiwa (inaasiwa, inasiwa, aasiwa) v., inf. administer"
asiwa,,asiwa adj. 1. ungainly; awkward; 2. unskilled; 3. uneasy
askad,,"askad n. somewhat bitter, acid taste"
askarid,,"askarid n., zoo. ascaris; ascarid; roundworm"
askarides,,"askarides n., zoo. ascaris; ascarid; roundworm"
askaris,,"askaris n., zoo. ascaris; ascarid; roundworm"
asma,,"n., med. asthma"
asmahin,,"asmahin (inaasma, inasma, aasmahin) v., inf. suffer from asthma; have an attack of asthma"
asmatika,,asmatika adj. asthmatic
asmatiko,,asmatiko adj. asthmatic
asnan,,"asnan (inaasnan, inasnan, aasnan) v., inf. mix with salt; salt (in order to preserve)"
asngal,,asngal n. palate; roof of the mouth
asngaw,,asngaw n. 1. smell of liqour from a drunken person; 2. smell of something rotten
asno,,"n., zoo. donkey"
aso,,aso n. smoke
aso,,"n., zoo. dog"
asod,,"asod n. successive blows, either by hammer (blacksmith), or as in boxing"
asog,,adj. sterile; asexual
Asoge,,n. Mercury (Hg)
asong babae,,"comp., n. bitch; female dog"
asong baliw,,asong baliw n. mad dog
asong pangaso,,"n., zoo. hound; hunting dog"
asong punggi,,"asong punggi n., zoo. tailless dog"
asong tagapagbantay,,"asong tagapagbantay n., zoo. watchdog"
asong ulol,,"asong ulol comp., n. mad dog"
asosasyon,,asosasyon n. association; union
asosyasiyon,,asosyasiyon n. 1. association; 2. contact with other people
asosyasyon,,asosyasyon n. 1. association; 2. contact with other people
asotea,,n. 1. balcony built above the ground floor; 2. roofless veranda over a porch
aspaltado,,adj. asphalted
aspalto,,n. asphalt
aspaltuhan,,"aspaltuhan (inaaspaltuhan, inaspaltuhan, aaspaltuhan) v., inf. asphalt or pave with asphalt"
aspaltuhin,,"aspaltuhin (inaaspalto, inaspalto, aaspaltuhin) v., inf. asphalt; pave with asphalt"
asparago,,"asparago n., bot. asparagus"
asparagus,,"asparagus n., bot. asparagus"
aspiksiya,,"aspiksiya n., med. asphyxia"
aspiksya,,"aspiksya n., med. asphyxia"
aspile,,aspile n. pin; decorative pin; brooch; tie pin; scarf pin
aspili,,aspili n. pin
aspilihan,,"aspilihan (inaaspilihan, inaspilihan, aaspilihan) v., inf. fasten or close with a pin (pins)"
aspilihan,,aspilihan n. pin cushion
aspirante,,n. aspirant
aspirin,,"aspirin n., med. aspirin"
aspirina,,"n., med. aspirin"
asta,,asta n. 1. pose; attitude of body; 2. action
astaka,,astaka adj. eroded by water
astaka,,astaka n. mould (US: mold) for making lead weights for fishing nets
Astatin,,n. Astatine (At)
asterisk,,asterisk n. asterisk (the sign *)
asterisko,,asterisko n. asterisk (the sign *)
astrologo,,astrologo n. astrologer
astrolohia,,astrolohia n. astrology
astrolohiya,,astrolohiya n. astrology
astronaut,,astronaut n. astronaut
astronomer,,astronomer n. astronomer
astronomia,,astronomia n. astronomy
astronomiya,,astronomiya n. astronomy
astronomo,,astronomo n. astronomer
astronomya,,astronomya n. astronomy
astropobya,,n. fear of lightning and thunder
asuang,,asuang n. evil creature able to assume different forms and to harass people at night (folklore)
asuangin,,"asuangin (inaasuang, inasuang, aasuangin) v., inf. be bewitched by an ""asuang"""
asugan,,"n., zoo. grown barracuda"
asuhin,,"asuhin (inaaso, inaso, aasuhin) v., inf. flatter a person with derision; deceive"
asuhos,,"n., zoo. whiting (fish)"
asukal,,n. sugar
asukalan,,"asukalan (inaasukalan, inasukalan, aasukalan) v., inf. sugar; sweeten with sugar"
asukalan,,asukalan n. 1. sugar mill; 2. sugar bowl
asukalin,,"(inaasukal, inasukal, aasukalin) v., inf. form into sugar"
asukarera,,n. 1. sugar mill; 2. sugar bowl
asukarero,,n. dealer in sugar
asul,,"asul n., adj. blue; azure"
asul-marino,,"asul-marino n., adj. navy blue"
asuleho,,n. glazed blue tile
Asunsiyon,,Asunsiyon n. Feast of the Aasumption of the Blessed Virgin
asunto,,n. 1. lawsuit; 2. affair; business
asuos,,"n., zoo. whiting (fish)"
Asupre,,n. Sulfur (Sulphur) (S)
asuran,,asuran n. anvil
asurin,,"asurin (inaasod, inasod, aasurin) v., inf. deliver a succession of blows"
asusena,,"n., bot. white lily"
asuwang,,asuwang n. evil creature able to assume different forms and to harass people at night (folklore)
aswang,,aswang n. evil creature able to assume different forms and harass people at night (folklore)
aswangin,,"aswangin (inaaswang, inaswang, aaswangin) v., inf. be bewitched (usually women who are about to give birth)"
aswela,,n. adze
Asya,,n. Asia
Asyan,,n. Asian
Asyano,,adj. Asiatic
asyenda,,n. hacienda
at,,conj. and
at iba pa,,"at iba pa comp. etc., et cetera"
at iba pang gaya nito,,at iba pang gaya nito comp. and so on; and more of the same
at saka,,at saka comp. ... and in addition
ata,,"pron. our, ours"
atado,,n. goods tied or wrapped up
atag,,1. adv.; 2. n 1. persistently; repeatedly; 2. community work on digging and levelling roads
atake,,n. 1. attack; 2. breakdown; 3. tirade
atake personal,,"atake personal comp., n. personal attack"
atake sa puso,,"atake sa puso n., med. heart attack"
atake serebral,,"atake serebral n., med. stroke; apoplexy"
atakihan,,atakihan n. mutual attack (physical and verbal)
atakihin,,"atakihin (inaatake, inatake, aatakihin) v., inf. 1. attack; assail; 2. suffer an attack of sickness"
atalon,,atalon n. atoll
atang,,n. helping another to place a load on head or shoulders
atang-atang,,"n., zoo. scorpion"
atangan,,"(inaatangan, inatangan, aatangan) v., inf. help to raise a load onto another's head or shoulders"
atangya,,"atangya n., zoo. insect or bug that infests rice, beans an other grains and leave a bad smell"
atas,,n. 1. order; command; 2. mandate
atas,,n. bidding; command
